dataset,model,view,feature,class_label,n,spearman_rho,spearman_p,partial_n,partial_spearman_rho,partial_spearman_p,orientation,analysis_stage,spearman_q,partial_spearman_q
ASVspoof2021_DF,Spectra-AASIST,full_waveform,hnr_db,0,4992,-0.004220285336156207,0.765621452359801,4992,-0.003636531472702577,0.7991748548567373,negated_raw_is_spoof,screen,0.7841798462590434,0.828134930553165
ASVspoof2021_DF,Spectra-AASIST,full_waveform,cpp_proxy_db,0,4992,0.08890562343465946,3.125227157833226e-10,4992,0.16954189650633406,6.661729515643374e-33,negated_raw_is_spoof,screen,5.60040706683714e-10,2.2666745491201762e-32
ASVspoof2021_DF,Spectra-AASIST,full_waveform,jitter_proxy,0,4992,-0.1324295969360902,5.680771526669869e-21,4992,-0.09999945966174517,2.322327386329713e-12,negated_raw_is_spoof,screen,1.3324532167267546e-20,5.543886336105034e-12
ASVspoof2021_DF,Spectra-AASIST,full_waveform,shimmer_proxy_db,0,4992,0.014033138807360434,0.32153954442340343,4992,0.02364656192467506,0.09801349094787565,negated_raw_is_spoof,screen,0.3465510406616313,0.1246264255761068
ASVspoof2021_DF,Spectra-AASIST,full_waveform,f0_delta_hz,0,4992,-0.09679120076906829,7.2278419779810115e-12,4992,-0.08417344138364838,3.650372005743519e-09,negated_raw_is_spoof,screen,1.356734583576324e-11,7.925848102939077e-09
ASVspoof2021_DF,Spectra-AASIST,full_waveform,group_delay_var,0,5000,-0.27354131009447735,1.6147521870041856e-86,5000,-0.2605030379304918,6.616061939721539e-77,negated_raw_is_spoof,screen,9.731959369209082e-86,3.629382549790101e-76
ASVspoof2021_DF,Spectra-AASIST,full_waveform,inst_freq_dispersion,0,5000,0.06914072744042303,9.89968847162397e-07,5000,0.03292857248219024,0.0210987125975286,negated_raw_is_spoof,screen,1.587730466093391e-06,0.029599864019914865
ASVspoof2021_DF,Spectra-AASIST,full_waveform,modulation_centroid_hz,0,5000,0.22739319283501488,1.1825604873141568e-59,5000,0.16065204225364688,1.0197125257893227e-29,negated_raw_is_spoof,screen,5.143564061327594e-59,3.2786929058872004e-29
ASVspoof2021_DF,Spectra-AASIST,full_waveform,modulation_entropy,0,5000,-0.03156986454658296,0.025593505882840605,5000,0.08214577372205314,8.341431861574397e-09,negated_raw_is_spoof,screen,0.03104483024055756,1.7994999072160497e-08
ASVspoof2021_DF,Spectra-AASIST,full_waveform,crest_factor_db,1,5000,-0.12618522885757982,3.3596374115474236e-19,5000,-0.06494969491137322,6.299340815589665e-06,negated_raw_is_spoof,screen,7.627284934323881e-19,1.202601428430754e-05
ASVspoof2021_DF,Spectra-AASIST,full_waveform,peak_dbfs,1,5000,0.07055304022289195,5.91936301618175e-07,5000,-0.05362366191477187,0.00019353637665538457,negated_raw_is_spoof,screen,9.562047949216672e-07,0.00033493885001870414
ASVspoof2021_DF,Spectra-AASIST,full_waveform,rms_dbfs,1,5000,0.12618706552965356,3.3556374502819076e-19,5000,0.06494085745475457,6.317674571748168e-06,negated_raw_is_spoof,screen,7.627284934323881e-19,1.204390726869438e-05
ASVspoof2021_DF,Spectra-AASIST,full_waveform,integrated_lufs,1,5000,0.036797649301204834,0.009262311092755722,5000,-0.04578307921707921,0.0014624787922050215,negated_raw_is_spoof,screen,0.01172179482925018,0.002328876180952072
ASVspoof2021_DF,Spectra-AASIST,full_waveform,silence_fraction,1,5000,-0.13256104915198036,4.835357430976798e-21,5000,-0.01740323181022947,0.22670279279396982,negated_raw_is_spoof,screen,1.1381296650145038e-20,0.27107522554723795
ASVspoof2021_DF,Spectra-AASIST,full_waveform,clipping_fraction,1,5000,-0.035190289534946774,0.012829125389911914,5000,0.0034309780091073125,0.8116393455784026,negated_raw_is_spoof,screen,0.016024483758402985,0.8384652424730001
ASVspoof2021_DF,Spectra-AASIST,full_waveform,frame_rms_cv,1,5000,-0.06975162707210932,7.934760382879178e-07,5000,-0.019811868673711038,0.16874729809856312,negated_raw_is_spoof,screen,1.2756361189700497e-06,0.20730929492181793
ASVspoof2021_DF,Spectra-AASIST,full_waveform,frame_rms_range_db,1,5000,-0.094567706692326,2.0799988793537178e-11,5000,0.0248263342682903,0.0845871871521287,negated_raw_is_spoof,screen,3.871909271262322e-11,0.10878964548560859
ASVspoof2021_DF,Spectra-AASIST,full_waveform,spectral_centroid_hz,1,5000,-0.050798179607242124,0.0003263965043092356,5000,-0.0806401848345567,2.0198287196221646e-08,negated_raw_is_spoof,screen,0.0004583875671803685,4.302139142903628e-08
ASVspoof2021_DF,Spectra-AASIST,full_waveform,spectral_centroid_std_hz,1,5000,-0.03446175147943255,0.014812614589008323,5000,-0.0550829389235911,0.00012872150679797987,negated_raw_is_spoof,screen,0.018348529039287728,0.00022703635844683063
ASVspoof2021_DF,Spectra-AASIST,full_waveform,spectral_bandwidth_hz,1,5000,-0.10642145457618288,4.5338217204540537e-14,5000,-0.06715238028916502,3.0181164788911424e-06,negated_raw_is_spoof,screen,9.081157067496643e-14,5.83647273040244e-06
ASVspoof2021_DF,Spectra-AASIST,full_waveform,spectral_rolloff85_hz,1,5000,-0.06331520863155833,7.449015878942515e-06,5000,-0.09113121651850498,2.252595571428598e-10,negated_raw_is_spoof,screen,1.1520687389296594e-05,5.114000756756817e-10
ASVspoof2021_DF,Spectra-AASIST,full_waveform,spectral_flatness,1,5000,0.06175890531421392,1.2419307867128793e-05,5000,0.12864154695964497,2.8968343059241164e-19,negated_raw_is_spoof,screen,1.9032553903558833e-05,7.897252144344853e-19
ASVspoof2021_DF,Spectra-AASIST,full_waveform,spectral_slope_db_per_khz,1,5000,0.041293369993681044,0.0034958494574089858,5000,0.13817800298146324,5.21437402755699e-22,negated_raw_is_spoof,screen,0.004566007454575001,1.5103704079820246e-21
ASVspoof2021_DF,Spectra-AASIST,full_waveform,low_high_energy_ratio_db,1,5000,0.11354136254745444,8.103295205211497e-16,5000,0.08847193999893584,7.403514900113409e-10,negated_raw_is_spoof,screen,1.6963907719321264e-15,1.6556279576959103e-09
ASVspoof2021_DF,Spectra-AASIST,full_waveform,spectral_flux,1,5000,0.08043991782118007,1.228161222869429e-08,5000,0.10187163174984805,1.2998403561023867e-12,negated_raw_is_spoof,screen,2.108108152664767e-08,3.1364190998233533e-12
ASVspoof2021_DF,Spectra-AASIST,full_waveform,f0_median_hz,1,4970,0.0005267183045331886,0.9703866392269825,4970,0.006938666148019899,0.6309037641432695,negated_raw_is_spoof,screen,0.9732833157619885,0.6783477272068434
ASVspoof2021_DF,Spectra-AASIST,full_waveform,f0_iqr_hz,1,4970,0.01123939212678485,0.42825402157437537,4970,0.03254508058376163,0.024190241042696372,negated_raw_is_spoof,screen,0.4568042896793337,0.033655987537664515
