dataset,model,view,feature,class_label,n,spearman_rho,spearman_p,partial_n,partial_spearman_rho,partial_spearman_p,orientation,analysis_stage,spearman_q,partial_spearman_q
ASVspoof5,Res2TCNGuard,preemphasized_crop,group_delay_var,0,5000,0.14728878377955132,1.1935809330494184e-25,5000,0.09153998286128577,2.147830797999549e-09,negated_raw_is_spoof,screen,3.629350167462485e-25,5.627065482478352e-09
ASVspoof5,Res2TCNGuard,preemphasized_crop,inst_freq_dispersion,0,5000,-0.018985775208694083,0.17950446365389827,5000,-0.014112828957898607,0.35704555293694096,negated_raw_is_spoof,screen,0.20532255246879938,0.41190491257274564
ASVspoof5,Res2TCNGuard,preemphasized_crop,modulation_centroid_hz,0,5000,0.04279149089565963,0.002474478324039372,5000,0.03466645594344884,0.023640904338723203,negated_raw_is_spoof,screen,0.003449895090776884,0.0354786369639268
ASVspoof5,Res2TCNGuard,preemphasized_crop,modulation_entropy,0,5000,0.028497515699900625,0.043906322172587366,5000,0.025877827433960963,0.09122001164740627,negated_raw_is_spoof,screen,0.054137703669685705,0.12114594432224707
ASVspoof5,Res2TCNGuard,preemphasized_crop,crest_factor_db,1,5000,-0.11812730632509223,5.287015215116455e-17,5000,-0.06041254296088775,4.005926509931124e-05,negated_raw_is_spoof,screen,1.296669425021262e-16,8.232362736005246e-05
ASVspoof5,Res2TCNGuard,preemphasized_crop,peak_dbfs,1,5000,-0.18553870600562458,5.785825441058152e-40,5000,0.027048770406489852,0.06612681531126993,negated_raw_is_spoof,screen,2.5329476849453277e-39,0.0909666732634051
ASVspoof5,Res2TCNGuard,preemphasized_crop,rms_dbfs,1,5000,-0.15901712066468482,1.12571369440953e-29,5000,0.1697847411721224,3.3905277638537353e-31,negated_raw_is_spoof,screen,3.810980365960726e-29,1.8154857827169003e-30
ASVspoof5,Res2TCNGuard,preemphasized_crop,integrated_lufs,1,5000,-0.20457923090316923,2.1827491203631816e-48,5000,-0.07141738389437384,1.1882063614977367e-06,negated_raw_is_spoof,screen,1.1370600068868668e-47,2.7345023113920516e-06
ASVspoof5,Res2TCNGuard,preemphasized_crop,silence_fraction,1,5000,-0.1640497440024264,1.6836190096442612e-31,5000,-0.07427155060673893,4.37881338110426e-07,negated_raw_is_spoof,screen,5.877360906394511e-31,1.0306699096679729e-06
ASVspoof5,Res2TCNGuard,preemphasized_crop,clipping_fraction,1,5000,-0.03723792061649296,0.008454130969976433,5000,0.01586746217446004,0.2811098419183303,negated_raw_is_spoof,screen,0.011227620576727595,0.33405095273053576
ASVspoof5,Res2TCNGuard,preemphasized_crop,frame_rms_cv,1,5000,-0.17320005390400212,5.697965718786063e-35,5000,-0.11156347870689956,2.928584245126755e-14,negated_raw_is_spoof,screen,2.1632954593357256e-34,9.647101042770487e-14
ASVspoof5,Res2TCNGuard,preemphasized_crop,frame_rms_range_db,1,5000,-0.183478701163148,4.180791213353701e-39,5000,-0.054045084713366595,0.0002391798226999074,negated_raw_is_spoof,screen,1.7669759090400548e-38,0.0004540362735998242
ASVspoof5,Res2TCNGuard,preemphasized_crop,spectral_centroid_hz,1,5000,-0.3049913968396558,4.021284504602684e-108,5000,-0.23007605530494618,1.6387659306141242e-56,negated_raw_is_spoof,screen,8.444697459665636e-107,1.5960155150328864e-55
ASVspoof5,Res2TCNGuard,preemphasized_crop,spectral_centroid_std_hz,1,5000,-0.15136286563851462,5.182778055319628e-27,5000,-0.11766710515552793,1.0561808784321287e-15,negated_raw_is_spoof,screen,1.635129978016333e-26,3.6966330745124505e-15
ASVspoof5,Res2TCNGuard,preemphasized_crop,spectral_bandwidth_hz,1,5000,-0.1806439654337586,6.117699096228413e-38,5000,-0.17523601276850442,3.754157625240735e-33,negated_raw_is_spoof,screen,2.499145162714586e-37,2.1379609526794694e-32
ASVspoof5,Res2TCNGuard,preemphasized_crop,spectral_rolloff85_hz,1,5000,-0.3020003381136958,6.011161565155215e-106,5000,-0.24125060941264875,4.042162658420292e-62,negated_raw_is_spoof,screen,1.1708697309519723e-104,4.3811827523523164e-61
ASVspoof5,Res2TCNGuard,preemphasized_crop,spectral_flatness,1,5000,-0.20679206805264574,2.0080863609564524e-49,5000,-0.1424887123359105,2.2928126499870447e-22,negated_raw_is_spoof,screen,1.0795472276501887e-48,9.281747595128277e-22
ASVspoof5,Res2TCNGuard,preemphasized_crop,spectral_slope_db_per_khz,1,5000,-0.2068993375879735,1.787494117420703e-49,5000,-0.1581606166835614,3.059470101896237e-27,negated_raw_is_spoof,screen,9.687064894408971e-49,1.4228123934078003e-26
ASVspoof5,Res2TCNGuard,preemphasized_crop,low_high_energy_ratio_db,1,5000,0.2532125761566572,5.381517280553464e-74,5000,0.18604722111588412,3.1865117127213515e-37,negated_raw_is_spoof,screen,4.636384118630677e-73,2.0891081667792667e-36
ASVspoof5,Res2TCNGuard,preemphasized_crop,spectral_flux,1,5000,0.20450496872292312,2.3635815362588943e-48,5000,0.19840027297611423,3.4256496004664425e-42,negated_raw_is_spoof,screen,1.2265071755721832e-47,2.615950603992556e-41
ASVspoof5,Res2TCNGuard,preemphasized_crop,f0_median_hz,1,4280,-0.09595123988625205,3.175124777316151e-10,4280,-0.045799793361699,0.004245608692432127,negated_raw_is_spoof,screen,6.359713413879146e-10,0.007168464927925601
ASVspoof5,Res2TCNGuard,preemphasized_crop,f0_iqr_hz,1,4280,-0.0005676793622746346,0.9703831786673704,4280,0.02997690692772463,0.061356589799532964,negated_raw_is_spoof,screen,0.9754637188698174,0.08518931476298792
ASVspoof5,Res2TCNGuard,preemphasized_crop,voiced_fraction,1,5000,0.026699564397417205,0.05905162629741398,5000,0.0797552731128987,5.768195330259847e-08,negated_raw_is_spoof,screen,0.0718889363620692,1.4224687199760062e-07
ASVspoof5,Res2TCNGuard,preemphasized_crop,hnr_db,1,4280,0.12578327824962612,1.4643738070093188e-16,4280,0.01091555194682586,0.49579050555501636,negated_raw_is_spoof,screen,3.552560282708528e-16,0.5511517282596708
ASVspoof5,Res2TCNGuard,preemphasized_crop,cpp_proxy_db,1,4280,-0.19829453023154833,3.324963513476327e-39,4280,-0.10738251719044291,1.818704017470394e-11,negated_raw_is_spoof,screen,1.409700618962834e-38,5.348661268009211e-11
ASVspoof5,Res2TCNGuard,preemphasized_crop,jitter_proxy,1,4280,0.04731405993257412,0.0019602042477563203,4280,0.06224916023747507,0.00010107832225068783,negated_raw_is_spoof,screen,0.0027615456069019855,0.00020096045133864563
ASVspoof5,Res2TCNGuard,preemphasized_crop,shimmer_proxy_db,1,4280,-0.09950649066359021,6.837445433845265e-11,4280,0.004512101470209181,0.7782907575295369,negated_raw_is_spoof,screen,1.4008424791292737e-10,0.813392517977992
ASVspoof5,Res2TCNGuard,preemphasized_crop,f0_delta_hz,1,4280,-0.006923163375274666,0.6506939822668583,4280,0.036250968472786756,0.023652424642617867,negated_raw_is_spoof,screen,0.678985024974113,0.0354786369639268
ASVspoof5,Res2TCNGuard,preemphasized_crop,group_delay_var,1,5000,0.041168235471717454,0.0035965154090192375,5000,0.027531534530112697,0.061432168761552934,negated_raw_is_spoof,screen,0.004972959577903144,0.08520622787980098
ASVspoof5,Res2TCNGuard,preemphasized_crop,inst_freq_dispersion,1,5000,-0.035634761180401604,0.011737870818408208,5000,0.06280695122497827,1.952653412594002e-05,negated_raw_is_spoof,screen,0.015331096579145415,4.1096206342833364e-05
ASVspoof5,Res2TCNGuard,preemphasized_crop,modulation_centroid_hz,1,5000,0.02694481691779267,0.05675982497334096,5000,0.03802765955350774,0.009769640820397524,negated_raw_is_spoof,screen,0.06922432374244124,0.01566873181696214
ASVspoof5,Res2TCNGuard,preemphasized_crop,modulation_entropy,1,5000,0.007549044973961798,0.5935683268553853,5000,0.013612796836684513,0.3551420418623514,negated_raw_is_spoof,screen,0.6252004947442302,0.4106775979592859
