model,item_id,family,template,k,n_steps,n_boundaries,method,control_of,attn_entropy,attn_text_mass,attn_per_occurrence,n_occ_cols,layer,layer_frac,d1,q_hat,r2,n_fit,d_median,n_eff,alpha,log_kf,floor,horizon
llasa1b,ct_blue_t4_k04,control_word,t4,4,265,4,attention,wr_blue_t4_k04,2.2940115928649902,0.0025696754455566406,0.00016379356384277344,4,15,1.0,nan,nan,nan,0,0.0,118.04046069256854,1.0792194942885835,0.5769340636657121,38.12021255493164,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,0,0.0,nan,nan,nan,0,0.0,77.25725182310842,1.8398430897395919,6.691367940087781,0.684734433889389,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,1,0.06666666666666667,nan,nan,nan,0,0.0,nan,nan,nan,1.0784475207328796,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,2,0.13333333333333333,nan,nan,nan,0,0.0,nan,nan,nan,1.1806843876838684,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,3,0.2,nan,nan,nan,0,0.0,nan,nan,nan,1.4041380882263184,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,4,0.26666666666666666,nan,nan,nan,0,0.0,nan,nan,nan,1.7103135585784912,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,5,0.3333333333333333,nan,nan,nan,0,0.0,114.36760448037025,1.5688498868361471,4.943918712917776,1.9094266891479492,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,6,0.4,nan,nan,nan,0,0.0,nan,nan,nan,2.0492557287216187,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,7,0.4666666666666667,nan,nan,nan,0,0.0,nan,nan,nan,2.1699390411376953,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,8,0.5333333333333333,nan,nan,nan,0,0.0,nan,nan,nan,2.3098803758621216,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,9,0.6,nan,nan,nan,0,0.0,nan,nan,nan,2.5550127029418945,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,10,0.6666666666666666,nan,nan,nan,0,0.0,106.1075567233037,1.5578618981540682,4.3712024646039245,3.312368392944336,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,11,0.7333333333333333,nan,nan,nan,0,0.0,nan,nan,nan,4.631035089492798,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,12,0.8,nan,nan,nan,0,0.0,nan,nan,nan,7.191515922546387,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,13,0.8666666666666667,nan,nan,nan,0,0.0,nan,nan,nan,12.059901237487793,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,14,0.9333333333333333,nan,nan,nan,0,0.0,nan,nan,nan,18.040839672088623,inf
llasa1b,ct_blue_t4_k06,control_word,t4,6,2048,6,attention,wr_blue_t4_k06,2.4503588676452637,0.0012020468711853027,7.716814676920573e-05,6,15,1.0,nan,nan,nan,0,0.0,80.45759141016913,1.7737786786133987,2.859138715995375,38.12021255493164,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,0,0.0,nan,nan,nan,0,0.0,239.8953501505335,0.8061754959222754,3.6095406896761313,0.684734433889389,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,1,0.06666666666666667,nan,nan,nan,0,0.0,nan,nan,nan,1.0784475207328796,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,2,0.13333333333333333,nan,nan,nan,0,0.0,nan,nan,nan,1.1806843876838684,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,3,0.2,nan,nan,nan,0,0.0,nan,nan,nan,1.4041380882263184,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,4,0.26666666666666666,nan,nan,nan,0,0.0,nan,nan,nan,1.7103135585784912,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,5,0.3333333333333333,nan,nan,nan,0,0.0,286.4440721860739,0.7588142368536492,2.516977471556779,1.9094266891479492,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,6,0.4,nan,nan,nan,0,0.0,nan,nan,nan,2.0492557287216187,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,7,0.4666666666666667,nan,nan,nan,0,0.0,nan,nan,nan,2.1699390411376953,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,8,0.5333333333333333,nan,nan,nan,0,0.0,nan,nan,nan,2.3098803758621216,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,9,0.6,nan,nan,nan,0,0.0,nan,nan,nan,2.5550127029418945,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,10,0.6666666666666666,nan,nan,nan,0,0.0,257.10821633627535,0.9123879877345058,2.1881998286518485,3.312368392944336,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,11,0.7333333333333333,nan,nan,nan,0,0.0,nan,nan,nan,4.631035089492798,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,12,0.8,nan,nan,nan,0,0.0,nan,nan,nan,7.191515922546387,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,13,0.8666666666666667,nan,nan,nan,0,0.0,nan,nan,nan,12.059901237487793,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,14,0.9333333333333333,nan,nan,nan,0,0.0,nan,nan,nan,18.040839672088623,inf
llasa1b,ct_blue_t4_k08,control_word,t4,8,471,8,attention,wr_blue_t4_k08,2.5580410957336426,0.003790616989135742,0.00021648406982421875,8,15,1.0,nan,nan,nan,0,0.0,221.59684701853192,1.0181122166437138,0.3416093146884769,38.12021255493164,inf
llasa1b,ct_blue_t4_k12,control_word,t4,12,684,12,attention,wr_blue_t4_k12,2.8111937046051025,0.003297150135040283,0.00015781323115030924,12,0,0.0,2.639756590622934,0.9888118727601904,0.01793473127653511,7,1.9305819272994995,250.9511223254612,0.8279175056142267,3.7042216573205384,0.684734433889389,119.9350026593158
llasa1b,ct_blue_t4_k12,control_word,t4,12,684,12,attention,wr_blue_t4_k12,2.8111937046051025,0.003297150135040283,0.00015781323115030924,12,1,0.06666666666666667,3.5879690400668847,0.9829793470950429,0.041336719987228765,7,2.621053695678711,nan,nan,nan,1.0784475207328796,70.02108384966698
llasa1b,ct_blue_t4_k12,control_word,t4,12,684,12,attention,wr_blue_t4_k12,2.8111937046051025,0.003297150135040283,0.00015781323115030924,12,2,0.13333333333333333,4.183077165751822,0.979084148134983,0.06306401170612752,7,2.876239061355591,nan,nan,nan,1.1806843876838684,59.8434861955499
llasa1b,ct_blue_t4_k12,control_word,t4,12,684,12,attention,wr_blue_t4_k12,2.8111937046051025,0.003297150135040283,0.00015781323115030924,12,3,0.2,5.003616865209924,0.9778369024114012,0.06939766602018171,7,3.484814167022705,nan,nan,nan,1.4041380882263184,56.69798754947027
llasa1b,ct_blue_t4_k12,control_word,t4,12,684,12,attention,wr_blue_t4_k12,2.8111937046051025,0.003297150135040283,0.00015781323115030924,12,4,0.26666666666666666,6.407854161154575,0.955587396355934,0.1983629781628572,7,3.5531909465789795,nan,nan,nan,1.7103135585784912,29.074956356529487
llasa1b,ct_blue_t4_k12,control_word,t4,12,684,12,attention,wr_blue_t4_k12,2.8111937046051025,0.003297150135040283,0.00015781323115030924,12,5,0.3333333333333333,7.089568348800217,0.952220985512475,0.19828301547428073,7,3.745401382446289,300.0507338033439,0.7801831833039076,2.6385136180825137,1.9094266891479492,26.79475423818197
llasa1b,ct_blue_t4_k12,control_word,t4,12,684,12,attention,wr_blue_t4_k12,2.8111937046051025,0.003297150135040283,0.00015781323115030924,12,6,0.4,7.630600603679494,0.9501077340360623,0.1974024723574186,7,3.8833322525024414,nan,nan,nan,2.0492557287216187,25.68762303848085
llasa1b,ct_blue_t4_k12,control_word,t4,12,684,12,attention,wr_blue_t4_k12,2.8111937046051025,0.003297150135040283,0.00015781323115030924,12,7,0.4666666666666667,8.837080110633794,0.9419820877637416,0.20205885548385327,7,4.004490852355957,nan,nan,nan,2.1699390411376953,23.494737732144987
llasa1b,ct_blue_t4_k12,control_word,t4,12,684,12,attention,wr_blue_t4_k12,2.8111937046051025,0.003297150135040283,0.00015781323115030924,12,8,0.5333333333333333,10.409375153376246,0.9307097247504373,0.24832699186108842,7,4.233791828155518,nan,nan,nan,2.3098803758621216,20.965832428344246
llasa1b,ct_blue_t4_k12,control_word,t4,12,684,12,attention,wr_blue_t4_k12,2.8111937046051025,0.003297150135040283,0.00015781323115030924,12,9,0.6,12.956567875010636,0.9203465585619157,0.2732352930711395,7,4.749709129333496,nan,nan,nan,2.5550127029418945,19.559615855217807
llasa1b,ct_blue_t4_k12,control_word,t4,12,684,12,attention,wr_blue_t4_k12,2.8111937046051025,0.003297150135040283,0.00015781323115030924,12,10,0.6666666666666666,17.16890898754206,0.912663268553284,0.29935539014489043,7,5.799581050872803,271.34842672212,0.9217154119826545,2.3998821601534486,3.312368392944336,18.004897120221564
llasa1b,ct_blue_t4_k12,control_word,t4,12,684,12,attention,wr_blue_t4_k12,2.8111937046051025,0.003297150135040283,0.00015781323115030924,12,11,0.7333333333333333,23.414715573236496,0.9215342049998241,0.25877318042774755,7,8.315385818481445,nan,nan,nan,4.631035089492798,19.832058747829027
llasa1b,ct_blue_t4_k12,control_word,t4,12,684,12,attention,wr_blue_t4_k12,2.8111937046051025,0.003297150135040283,0.00015781323115030924,12,12,0.8,34.04120604139055,0.9427408504184264,0.20935632763055578,7,16.316036224365234,nan,nan,nan,7.191515922546387,26.366490591827723
