model,item_id,family,template,k,n_steps,n_boundaries,method,control_of,attn_text_entropy,attn_text_mass,attn_share,attn_share_max,attn_block_entropy,attn_unif_dev,attn_per_occurrence,n_occ_cols,layer,layer_frac,q_hat,r2,slope,sigma_early,sigma_late,sigma_ratio,q_bnd,r2_bnd,d1,d_median,n_eff,alpha,log_kf,floor,horizon_scale,horizon
xtts2,ct_blue_t4_k08,control_word,t4,8,120,8,attention,wr_blue_t4_k08,3.7974853515625,0.2897167205810547,0.125,0.15483839809894562,2.0679092407226562,0.029919609427452087,0.0058231353759765625,8,21,0.7,1.0038531732724592,0.07174071769144963,0.003845768814669728,0.5850471556186676,0.5994724333286285,1.024656606858821,nan,nan,nan,0.0,nan,nan,nan,0.0,inf,inf
xtts2,ct_blue_t4_k08,control_word,t4,8,120,8,attention,wr_blue_t4_k08,3.7974853515625,0.2897167205810547,0.125,0.15483839809894562,2.0679092407226562,0.029919609427452087,0.0058231353759765625,8,24,0.8,1.0032667593768043,0.09429330896905297,0.0032614351106378912,0.6708778738975525,0.6839011609554291,1.0194123067171914,nan,nan,nan,0.0,nan,nan,nan,0.0,inf,inf
xtts2,ct_blue_t4_k08,control_word,t4,8,120,8,attention,wr_blue_t4_k08,3.7974853515625,0.2897167205810547,0.125,0.15483839809894562,2.0679092407226562,0.029919609427452087,0.0058231353759765625,8,27,0.9,1.0070851067357507,0.1368388794166221,0.007060125295064745,0.8178968131542206,0.842646062374115,1.030259623001157,nan,nan,nan,0.0,nan,nan,nan,0.0,inf,inf
xtts2,ct_blue_t4_k08,control_word,t4,8,120,8,attention,wr_blue_t4_k08,3.7974853515625,0.2897167205810547,0.125,0.15483839809894562,2.0679092407226562,0.029919609427452087,0.0058231353759765625,8,29,1.0,1.0165534444993933,0.30634746472468355,0.01641792968337939,0.7125468254089355,0.7867297828197479,1.1041095893848636,nan,nan,nan,0.0,62.43491113966679,0.9744825541078427,0.5657979308462702,0.0,inf,inf
xtts2,ct_blue_t4_k12,control_word,t4,12,156,12,attention,wr_blue_t4_k12,4.02598762512207,0.3042745590209961,0.0833333358168602,0.10910320281982422,2.4732155799865723,0.02576986700296402,0.0048212213441729546,12,0,0.0,1.0004606117207724,0.0008761576683743444,0.0006907585076360674,0.8729004859924316,0.8754201829433441,1.0028865798465534,nan,nan,nan,0.0,72.95802227791708,1.0302299352236604,1.1062142306318514,0.0,inf,inf
xtts2,ct_blue_t4_k12,control_word,t4,12,156,12,attention,wr_blue_t4_k12,4.02598762512207,0.3042745590209961,0.0833333358168602,0.10910320281982422,2.4732155799865723,0.02576986700296402,0.0048212213441729546,12,3,0.1,0.9949724480459211,0.08636639726434281,-0.007560348919560066,0.4960053712129593,0.46928784251213074,0.9461345980276544,nan,nan,nan,0.0,nan,nan,nan,0.0,198.40354141846916,nan
xtts2,ct_blue_t4_k12,control_word,t4,12,156,12,attention,wr_blue_t4_k12,4.02598762512207,0.3042745590209961,0.0833333358168602,0.10910320281982422,2.4732155799865723,0.02576986700296402,0.0048212213441729546,12,6,0.2,0.9943749323158171,0.07959467622463823,-0.00846142193572222,0.4602876752614975,0.4315974563360214,0.9376689395187984,nan,nan,nan,0.0,nan,nan,nan,0.0,177.2751685703447,nan
xtts2,ct_blue_t4_k12,control_word,t4,12,156,12,attention,wr_blue_t4_k12,4.02598762512207,0.3042745590209961,0.0833333358168602,0.10910320281982422,2.4732155799865723,0.02576986700296402,0.0048212213441729546,12,9,0.3,0.9940531174976849,0.08028202369886395,-0.008946953440327868,0.4913567751646042,0.45883965492248535,0.9338217729241128,nan,nan,nan,0.0,77.34892755009476,0.9970833965624107,0.3902633304949418,0.0,167.65483468806417,nan
xtts2,ct_blue_t4_k12,control_word,t4,12,156,12,attention,wr_blue_t4_k12,4.02598762512207,0.3042745590209961,0.0833333358168602,0.10910320281982422,2.4732155799865723,0.02576986700296402,0.0048212213441729546,12,12,0.4,0.9934840389789037,0.09219361118527036,-0.009805923848722042,0.5317813903093338,0.4948321431875229,0.9305179763806368,nan,nan,nan,0.0,nan,nan,nan,0.0,152.96875879731516,nan
xtts2,ct_blue_t4_k12,control_word,t4,12,156,12,attention,wr_blue_t4_k12,4.02598762512207,0.3042745590209961,0.0833333358168602,0.10910320281982422,2.4732155799865723,0.02576986700296402,0.0048212213441729546,12,15,0.5,0.9915747362114058,0.17671487230819727,-0.012691435421697692,0.5685381293296814,0.5206384658813477,0.9157494265075793,nan,nan,nan,0.0,nan,nan,nan,0.0,118.18994070879853,nan
xtts2,ct_blue_t4_k12,control_word,t4,12,156,12,attention,wr_blue_t4_k12,4.02598762512207,0.3042745590209961,0.0833333358168602,0.10910320281982422,2.4732155799865723,0.02576986700296402,0.0048212213441729546,12,18,0.6,0.9963641464828025,0.03843279981453718,-0.00546371894657591,0.5616596639156342,0.5396876335144043,0.9608801703009062,nan,nan,nan,0.0,111.47801198876915,0.7026909387486249,-0.6516448155412641,0.0,274.53827963461424,nan
xtts2,ct_blue_t4_k12,control_word,t4,12,156,12,attention,wr_blue_t4_k12,4.02598762512207,0.3042745590209961,0.0833333358168602,0.10910320281982422,2.4732155799865723,0.02576986700296402,0.0048212213441729546,12,21,0.7,0.999814298393088,0.00019748595254687196,-0.0002785782773855616,0.602252185344696,0.5988258123397827,0.9943107337950924,nan,nan,nan,0.0,nan,nan,nan,0.0,5384.483004482606,nan
xtts2,ct_blue_t4_k12,control_word,t4,12,156,12,attention,wr_blue_t4_k12,4.02598762512207,0.3042745590209961,0.0833333358168602,0.10910320281982422,2.4732155799865723,0.02576986700296402,0.0048212213441729546,12,24,0.8,1.0002172120864818,0.00039698579257230193,0.00032578274902822025,0.6871138215065002,0.6873429119586945,1.0003334097569045,nan,nan,nan,0.0,nan,nan,nan,0.0,inf,inf
xtts2,ct_blue_t4_k12,control_word,t4,12,156,12,attention,wr_blue_t4_k12,4.02598762512207,0.3042745590209961,0.0833333358168602,0.10910320281982422,2.4732155799865723,0.02576986700296402,0.0048212213441729546,12,27,0.9,1.0054933311205503,0.3341347719770422,0.008217446710998364,0.8289003968238831,0.8784513473510742,1.05977913717626,nan,nan,nan,0.0,nan,nan,nan,0.0,inf,inf
xtts2,ct_blue_t4_k12,control_word,t4,12,156,12,attention,wr_blue_t4_k12,4.02598762512207,0.3042745590209961,0.0833333358168602,0.10910320281982422,2.4732155799865723,0.02576986700296402,0.0048212213441729546,12,29,1.0,1.012091127942739,0.8746829326971268,0.018027921278250363,0.7261814773082733,0.808942586183548,1.1139675294143334,nan,nan,nan,0.0,75.1117187941253,0.986660335661202,0.8184658298712069,0.0,inf,inf
xtts2,ct_blue_t4_k16,control_word,t4,16,228,16,attention,wr_blue_t4_k16,4.206305027008057,0.31345605850219727,0.0625,0.08716143667697906,2.755126476287842,0.024661436676979065,0.00408482551574707,16,0,0.0,0.9966862623969556,0.27929441235682506,-0.0066384803818929266,0.911845326423645,0.8764571845531464,0.9611906308613822,nan,nan,nan,0.0,98.2640679159115,1.019628197943566,1.3574453538329445,0.0,301.2737682339442,nan
xtts2,ct_blue_t4_k16,control_word,t4,16,228,16,attention,wr_blue_t4_k16,4.206305027008057,0.31345605850219727,0.0625,0.08716143667697906,2.755126476287842,0.024661436676979065,0.00408482551574707,16,3,0.1,0.9890849765654849,0.6407823034046409,-0.021950058692503317,0.5240215361118317,0.4617936611175537,0.8812493939543014,nan,nan,nan,0.0,nan,nan,nan,0.0,91.11592948419157,nan
xtts2,ct_blue_t4_k16,control_word,t4,16,228,16,attention,wr_blue_t4_k16,4.206305027008057,0.31345605850219727,0.0625,0.08716143667697906,2.755126476287842,0.024661436676979065,0.00408482551574707,16,6,0.2,0.9932206142551716,0.3550941382396261,-0.013604940343359241,0.4839569926261902,0.45104071497917175,0.9319851182056521,nan,nan,nan,0.0,nan,nan,nan,0.0,147.00542226017546,nan
